cluster,label,coherence,n_docs,n_words
-1,"deep neural network, convolutional neural network, deep convolutional neural, neural network model, recurrent neural network, machine learning algorithm, artificial neural network, neural network, bayesian neural network, deep reinforcement learning, neural network based, neural network learning, deep learning network, deep convolutional network, deep learning algorithm, neural network deep, machine learning system, learning neural network, spiking neural network, neural network architecture, network deep neural, deep learning framework, deep learning neural, deep learning system, neural network approach, machine learning technique, generative adversarial network, bayesian deep learning, learning deep neural, deep learning deep, deep learning technique, machine learning application, graph neural network, neural network neural, network deep learning, neural network convolutional, deep neural, deep learning architecture, deep network model, deep metric learning, deep feature learning, deep generative model, neural network training, machine learning problem, network deep network, machine learning task, convolutional neural, deep recurrent neural, deep learning approach, network machine learning",0.32458785375188864,21203,28
0,"deep neural network, artificial neural network, time sery data, neural network model, neural network, recurrent neural network, time sery, time sery classification, time sery forecasting, convolutional neural network, time sery prediction, neural network learning, neural network based, time sery model, machine learning algorithm, machine learning technique, time sery analysi, neural network approach, dynamic time warping, lstm neural network, support vector machine, artificial neural, deep neural, learning neural network, fuzzy neural network, multivariate time sery, deep learning neural, financial time sery, time, based neural network, sery data mining, network, deep reinforcement learning, neural, deep learning technique, deep learning algorithm, neural network system, forecasting time sery, data mining technique, recurrent neural, neural network neural, bayesian neural network, time sery dataset, neural network technique, proposed neural network, deep convolutional neural, deep recurrent neural, time sery modeling, regression neural network, neural network method",0.25400994422166323,1213,37
1,"recommender system, collaborative filtering, deep neural network, recommendation system, recurrent neural network, neural network model, machine learning algorithm, recommendation, neural network, matrix factorization model, collaborative filtering model, matrix factorization, user, collaborative filtering algorithm, recommender system recommender, recommendation collaborative filtering, system recommender system, recommendation system recommendation, recommendation recommendation system, recommendation recommender system, collaborative filtering collaborative, deep learning recommendation, system recommendation system, system, recommendation system recommender, filtering collaborative filtering, recommender system based, based recommender system, collaborative filtering method, recommender system model, ranking, recommender, recommendation model recommendation, item, user preference, machine learning technique, item recommendation, learning recommendation system, model recommendation system, matrix factorization recommendation, recommender system collaborative, deep neural, online recommender system, collaborative, collaborative filtering recommendation, recommendation collaborative recommendation, prediction recommendation system, convolutional neural network, recommendation algorithm, bayesian deep learning",0.3067393672425348,1122,26
2,"deep neural network, adversarial machine learning, neural network, neural network deep, network deep neural, generative adversarial network, deep learning system, adversarial attack, neural network model, deep neural, convolutional neural network, network intrusion detection, adversarial deep learning, machine learning algorithm, adversarial attack adversarial, machine learning system, deep learning deep, adversarial attack deep, attack deep neural, intrusion detection system, deep learning algorithm, learning deep neural, anomaly detection, adversarial, adversarial training, neural network neural, neural network adversarial, neural network robustness, machine learning technique, network deep learning, adversarial network, adversarial attack method, robust neural network, adversarial network deep, training neural network, neural network learning, neural network classifier, deep adversarial learning, adversarial neural network, bayesian neural network, network adversarial attack, adversarial training adversarial, adversarial perturbation, network attack detection, anomaly detection algorithm, adversarial robustness adversarial, network anomaly detection, deep convolutional neural, network neural network, neural network based",0.2703051182110894,2064,24
3,"recurrent neural network, neural machine translation, neural network model, deep neural network, neural language model, convolutional neural network, natural language processing, neural network language, network language model, neural network, neural network based, network recurrent neural, neural network recurrent, machine translation neural, translation neural machine, automatic speech recognition, word embedding model, neural network architecture, natural language generation, machine translation system, machine translation model, natural language, statistical machine translation, neural network neural, language processing task, deep recurrent neural, natural language inference, recurrent neural, natural language text, neural translation model, machine translation, neural machine, natural language understanding, lstm language model, neural network approach, rnn language model, deep convolutional neural, speech recognition system, deep neural model, neural natural language, named entity recognition, neural word embedding, machine learning algorithm, graph neural network, neural language modeling, neural sequence model, network neural network, convolutional recurrent neural, learning word embedding, lstm neural network",0.30280995260846194,10529,35
4,"evolutionary algorithm, particle swarm optimization, genetic algorithm, algorithm evolutionary algorithm, hybrid evolutionary algorithm, combinatorial optimization problem, traveling salesman problem, multi-objective evolutionary algorithm, optimization evolutionary algorithm, local search algorithm, multi-objective optimization problem, algorithm, ant colony optimization, evolutionary algorithm evolutionary, search algorithm, simple genetic algorithm, constrained optimization problem, heuristic search algorithm, global optimization problem, algorithm genetic algorithm, problem, planning problem, parallel genetic algorithm, multiobjective evolutionary algorithm, differential evolution algorithm, solving optimization problem, hybrid genetic algorithm, tabu search algorithm, path planning problem, dynamic optimization problem, genetic programming, continuou optimization problem, problem evolutionary algorithm, compact genetic algorithm, search, evolutionary multi-objective optimization, optimization genetic algorithm, evolutionary computation algorithm, evolutionary optimization algorithm, pareto evolutionary algorithm, multi-objective genetic algorithm, evolutionary algorithm based, evolutionary, local search, evolutionary programming algorithm, cellular genetic algorithm, genetic algorithm genetic, evolutionary genetic algorithm, heuristic optimization algorithm, vehicle routing problem",0.22506933333691898,1502,38
5,"deep reinforcement learning, reinforcement learning algorithm, reinforcement learning reinforcement, inverse reinforcement learning, reinforcement learning deep, learning deep reinforcement, reinforcement learning agent, reinforcement learning problem, bayesian reinforcement learning, hierarchical reinforcement learning, markov decision process, multi-agent reinforcement learning, reinforcement learning framework, model-based reinforcement learning, deep reinforcement, online reinforcement learning, reinforcement learning policy, reinforcement learning task, model-free reinforcement learning, online learning algorithm, deep neural network, gradient reinforcement learning, efficient reinforcement learning, reinforcement learning setting, general reinforcement learning, reinforcement learning recent, reinforcement learning environment, online learning problem, multiagent reinforcement learning, game reinforcement learning, reinforcement learning control, markov decision, reinforcement learning technique, safe reinforcement learning, robust reinforcement learning, off-policy reinforcement learning, reinforcement learning process, observable markov decision, reinforcement learning approach, reinforcement learning system, adversarial reinforcement learning, standard reinforcement learning, reinforcement learning bayesian, multi-armed bandit problem, environment reinforcement learning, autonomou reinforcement learning, reward reinforcement learning, reinforcement learning network, deep deterministic policy, deep learning algorithm",0.28533314156471223,4877,44
6,"generative adversarial network, network generative adversarial, adversarial network generative, generative adversarial, gan generative adversarial, deep generative model, adversarial network, conditional generative adversarial, generative adversarial net, training generative adversarial, deep neural network, generative network generative, wasserstein generative adversarial, generative neural network, generative model generative, generative adversarial learning, convolutional neural network, deep generative network, learning generative adversarial, generative model deep, model deep generative, adversarial generative model, generative adversarial model, model generative adversarial, generative adversarial neural, convolutional generative adversarial, generative image model, deep generative, generation generative adversarial, neural network, image generative adversarial, network generative network, wasserstein gan generative, adversarial network gan, adversarial network image, generative, conditional generative model, network generative, neural style transfer, training generative model, image generative model, neural network model, generative network, adversarial neural network, generative stochastic network, network deep generative, adversarial learning generative, conditional adversarial network, style transfer network, image style transfer",0.2808593910498717,1630,18
7,"convolutional neural network, visual question answering, deep neural network, face recognition, facial expression recognition, deep convolutional neural, face recognition face, deep face recognition, face image, face recognition system, video face recognition, face recognition network, visual face image, recurrent neural network, neural network, recognition face recognition, face recognition model, human face recognition, based face recognition, face recognition performance, face recognition method, face recognition deep, deep convolutional network, face detection, face, robust face recognition, face recognition dataset, neural network model, face face recognition, learning face recognition, automatic face recognition, generative adversarial network, face detection face, image captioning model, face detection network, video question answering, question answering visual, visual question, convolutional neural, answering visual question, visual relationship detection, facial expression analysi, network face recognition, face expression recognition, face image dataset, deep learning network, image captioning, face recognition task, face recognition based, deep learning face",0.2494893201301712,2778,31
8,"convolutional neural network, deep neural network, deep convolutional neural, deep convolutional network, neural network deep, neural network model, bayesian neural network, neural network, network deep neural, graph neural network, network convolutional neural, recurrent neural network, deep learning network, neural network based, graph convolutional network, network deep learning, neural network architecture, neural network learning, learning neural network, neural network neural, deep learning algorithm, neural network training, bayesian deep learning, training deep neural, network deep convolutional, convolutional neural, fully convolutional network, training neural network, machine learning algorithm, learning deep neural, deep learning deep, deep learning framework, deep neural, graph convolutional neural, learning convolutional neural, fully convolutional neural, neural network approach, convolution neural network, artificial neural network, neural network image, network neural network, deep learning architecture, network representation learning, deep network deep, training deep network, convolutional deep neural, deep learning technique, semantic image segmentation, sparse bayesian learning, learning deep network",0.35119226307464435,25874,25
9,"bayesian network structure, learning bayesian network, bayesian network, bayesian network bayesian, causal bayesian network, bayesian belief network, network bayesian network, bayesian network model, bayesian network inference, bayesian network learning, gaussian bayesian network, network structure learning, dynamic bayesian network, bayesian structure learning, discrete bayesian network, causal inference, markov network model, bayesian, causal bayesian model, probabilistic graphical model, causal structure learning, time bayesian network, gaussian graphical model, learning causal network, hybrid bayesian network, structure learning algorithm, belief network inference, markov network structure, bayesian causal inference, model bayesian network, exact bayesian network, data bayesian network, structural causal model, bayesian network variable, belief network, markov network, causal bayesian, optimal bayesian network, network structure, inference bayesian network, map bayesian network, causal, markov random field, structure learning bayesian, graphical markov model, network, causal discovery algorithm, bayesian structure discovery, bayesian belief, bayesian inference",0.2523099358720565,1250,26
10,"answer set programming, constraint logic programming, answer set semantic, probabilistic logic programming, constraint satisfaction problem, logic programming system, probabilistic logic program, set programming, answer set, stable model semantic, logic programming language, disjunctive logic programming, inductive logic programming, disjunctive logic program, answer set program, probabilistic constraint logic, logic programming semantic, programming constraint programming, web ontology language, logic programming framework, constraint programming constraint, description logic, programming answer set, rough set theory, constraint programming, constraint answer set, set programming answer, logic description logic, description logic program, constraint logic program, constraint optimization problem, fuzzy set theory, description logic constraint, stable logic programming, normal logic program, semantic web rule, constraint programming system, programming logic programming, general logic program, set, semantic web service, set semantic, programming, constraint satisfaction, probabilistic programming language, markov logic network, problem, semantic, semantic ontology model, extended logic program",0.2559052084061696,2162,31
